# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.299
metadata : {}


# id : NWRW1800000026.299.1.1
女劍士, 한국 고유의 검법 세계에 선보이다;검도 6단 이은미 관장

女劍士,	女劍士/SH+,/SP
한국	한국/NNP
고유의	고유/NNG+의/JKG
검법	검법/NNG
세계에	세계/NNG+에/JKB
선보이다;검도	선보이/VV+다/EF+;/SW+검도/NNG
6단	6/SN+단/NNG
이은미	이은미/NNP
관장	관장/NNG


# id : NWRW1800000026.299.2.1
일본 검도와도, 중국의 검법과도 다른 한국의 고유 검법이 있다는 것을 확실하게 알리고 오겠습니다.

일본	일본/NNP
검도와도,	검도/NNG+와/JKB+도/JX+,/SP
중국의	중국/NNP+의/JKG
검법과도	검법/NNG+과/JKB+도/JX
다른	다르/VA+ㄴ/ETM
한국의	한국/NNP+의/JKG
고유	고유/NNG
검법이	검법/NNG+이/JKS
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
확실하게	확실하/VA+게/EC
알리고	알리/VV+고/EC
오겠습니다.	오/VV+겠/EP+습니다/EF+./SF


# id : NWRW1800000026.299.3.1
한국의 여성 검사(劍士)가 우리나라 최고(最古)의 검법인 '조선세법(朝鮮勢法)'을 세계 무술인에게 공개 시연한다.

한국의	한국/NNP+의/JKG
여성	여성/NNG
검사(劍士)가	검사/NNG+(/SS+劍士/SH+)/SS+가/JKS
우리나라	우리나라/NNG
최고(最古)의	최고/NNG+(/SS+最古/SH+)/SS+의/JKG
검법인	검법/NNG+이/VCP+ㄴ/ETM
'조선세법(朝鮮勢法)'을	'/SS+조선세법/NNG+(/SS+朝鮮勢法/SH+)/SS+'/SS+을/JKO
세계	세계/NNG
무술인에게	무술인/NNG+에게/JKB
공개	공개/NNG
시연한다.	시연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.299.3.2
대구에서 검도 도장인 '일검관'을 운영하는 이은미(41) 관장이다.

대구에서	대구/NNP+에서/JKB
검도	검도/NNG
도장인	도장/NNG+이/VCP+ㄴ/ETM
'일검관'을	'/SS+일검관/NNP+'/SS+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
이은미(41)	이은미/NNP+(/SS+41/SN+)/SS
관장이다.	관장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.299.4.1
지난달 28일부터 중국 베이징에서는 국제경기연맹 주최로 '무술올림픽'이라고도 부르는 '스포츠 어코드 컴뱃 게임(Sports Accord Combat Game)'이 열리고 있다.

지난달	지난달/NNG
28일부터	28/SN+일/NNB+부터/JX
중국	중국/NNP
베이징에서는	베이징/NNP+에서/JKB+는/JX
국제경기연맹	국제경기연맹/NNP
주최로	주최/NNG+로/JKB
'무술올림픽'이라고도	'/SS+무술/NNG+올림픽/NNG+'/SS+이라고/JKQ+도/JX
부르는	부르/VV+는/ETM
'스포츠	'/SS+스포츠/NNG
어코드	어코드/NNG
컴뱃	컴뱃/NNG
게임(Sports	게임/NNG+(/SS+Sports/SL
Accord	Accord/SL
Combat	Combat/SL
Game)'이	Game/SL+)/SS+'/SS+이/JKS
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.299.4.2
태권도, 복싱, 유도, 주짓수, 가라테, 검도, 킥복싱, 무에타이, 삼보, 스모, 레슬링, 우슈 등 13가지 무술 종목에 걸쳐 무려 150개국 1900여명의 무술인이 경기를 펼치고 있다.

태권도,	태권도/NNG+,/SP
복싱,	복싱/NNG+,/SP
유도,	유도/NNG+,/SP
주짓수,	주짓수/NNG+,/SP
가라테,	가라테/NNG+,/SP
검도,	검도/NNG+,/SP
킥복싱,	킥복싱/NNG+,/SP
무에타이,	무에타이/NNG+,/SP
삼보,	삼보/NNG+,/SP
스모,	스모/NNG+,/SP
레슬링,	레슬링/NNG+,/SP
우슈	우슈/NNG
등	등/NNB
13가지	13/SN+가지/NNB
무술	무술/NNG
종목에	종목/NNG+에/JKB
걸쳐	걸치/VV+어/EC
무려	무려/MAG
150개국	150/SN+개국/NNB
1900여명의	1900/SN+여/XSN+명/NNB+의/JKG
무술인이	무술인/NNG+이/JKS
경기를	경기/NNG+를/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.299.5.1
이 관장은 이곳에서 오는 4일 '조선세법' 24세(勢) 가운데 12세를 시연한다.

이	이/NNP
관장은	관장/NNG+은/JX
이곳에서	이곳/NP+에서/JKB
오는	오/VV+는/ETM
4일	4/SN+일/NNB
'조선세법'	'/SS+조선세법/NNG+'/SS
24세(勢)	24/SN+세/NNG+(/SS+勢/SH+)/SS
가운데	가운데/NNG
12세를	12/SN+세/NNG+를/JKO
시연한다.	시연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.299.5.2
'조선세법'은 조선시대의 무예훈련 교범인 무예도보통지에 나오는 본국검법보다 앞서는 우리나라에서 가장 오래된 검법으로, 전후좌우의 공격 자세가 묘사돼 있다.

'조선세법'은	'/SS+조선세법/NNG+'/SS+은/JX
조선시대의	조선시대/NNG+의/JKG
무예훈련	무예/NNG+훈련/NNG
교범인	교범/NNG+이/VCP+ㄴ/ETM
무예도보통지에	무예도보통지/NNP+에/JKB
나오는	나오/VV+는/ETM
본국검법보다	본국검법/NNG+보다/JKB
앞서는	앞서/VV+는/ETM
우리나라에서	우리나라/NNG+에서/JKB
가장	가장/MAG
오래된	오래/MAG+되/XSA+ㄴ/ETM
검법으로,	검법/NNG+으로/JKB+,/SP
전후좌우의	전후좌우/NNG+의/JKG
공격	공격/NNG
자세가	자세/NNG+가/JKS
묘사돼	묘사/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.299.5.3
명나라 모원의(茅元儀)가 쓴 무비지(武備志)에 나온 것을 1980년대 대한검도회에서 발굴해 복원 중이다.

명나라	명나라/NNP
모원의(茅元儀)가	모원의/NNP+(/SS+茅元儀/SH+)/SS+가/JKS
쓴	쓰/VV+ㄴ/ETM
무비지(武備志)에	무비지/NNP+(/SS+武備志/SH+)/SS+에/JKB
