# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.235
metadata : {}


# id : NWRW1800000049.235.1.1
2m대 거인 잡는 197cm 이승현

2m대	2/SN+m/SW+대/NNG
거인	거인/NNG
잡는	잡/VV+는/ETM
197cm	197/SN+cm/SW
이승현	이승현/NNP


# id : NWRW1800000049.235.2.1
2m이상 8명 포진 튀니지와 평가전… 장신 숲 휘저으며 양 팀 최다 14R 작년 亞 최고센터 하다디와 대결… 판정승 거둔 뒤 거인 공포증 벗어

2m이상	2/SN+m/SW+이상/NNG
8명	8/SN+명/NNB
포진	포진/NNG
튀니지와	튀니지/NNP+와/JKB
평가전…	평가전/NNG+…/SE
장신	장신/NNG
숲	숲/NNG
휘저으며	휘젓/VV+으며/EC
양	양/MMN
팀	팀/NNG
최다	최다/NNG
14R	14/SN+R/SL
작년	작년/NNG
亞	亞/SH
최고센터	최고/NNG+센터/NNG
하다디와	하다디/NNP+와/JKB
대결…	대결/NNG+…/SE
판정승	판정승/NNG
거둔	거두/VV+ㄴ/ETM
뒤	뒤/NNG
거인	거인/NNG
공포증	공포증/NNG
벗어	벗/VV+어/EC


# id : NWRW1800000049.235.3.1
프로농구 오리온의 센터 이승현(24·197cm)에게는 “골밑에서 버티기에는 키가 작다”는 말이 늘 꼬리표처럼 따라다닌다.

프로농구	프로/NNG+농구/NNG
오리온의	오리온/NNP+의/JKG
센터	센터/NNG
이승현(24·197cm)에게는	이승현/NNP+(/SS+24/SN+·/SP+197/SN+cm/SW+)/SS+에게/JKB+는/JX
“골밑에서	“/SS+골/NNG+밑/NNG+에서/JKB
버티기에는	버티/VV+기/ETN+에/JKB+는/JX
키가	키/NNG+가/JKS
작다”는	작/VA+다/EF+”/SS+는/ETM
말이	말/NNG+이/JKS
늘	늘/MAG
꼬리표처럼	꼬리표/NNG+처럼/JKB
따라다닌다.	따라다니/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.235.3.2
고교와 대학 무대에서 골밑을 평정했지만 그를 바라보는 많은 농구인은 “키가 205cm만 됐어도…”라며 아쉬워했다.

고교와	고교/NNG+와/JC
대학	대학/NNG
무대에서	무대/NNG+에서/JKB
골밑을	골/NNG+밑/NNG+을/JKO
평정했지만	평정/NNG+하/XSV+았/EP+지만/EC
그를	그/NP+를/JKO
바라보는	바라보/VV+는/ETM
많은	많/VA+은/ETM
농구인은	농구인/NNG+은/JX
“키가	“/SS+키/NNG+가/JKS
205cm만	205/SN+cm/SW+만/JX
됐어도…”라며	되/VV+었/EP+어도/EC+…/SE+”/SS+이/VCP+라며/EC
아쉬워했다.	아쉬워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.235.3.3
프로 무대에서는 이승현을 두고 한동안 포지션 논란이 벌어지기도 했다.

프로	프로/NNG
무대에서는	무대/NNG+에서/JKB+는/JX
이승현을	이승현/NNP+을/JKO
두고	두/VV+고/EC
한동안	한/XPN+동안/NNG
포지션	포지션/NNG
논란이	논란/NNG+이/JKS
벌어지기도	벌어지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.235.3.4
이승현의 키와 낮은 제자리 점프로는 국제무대에서 파워포워드나 센터를 맡기가 애매해 스몰포워드로 키워야 한다는 것이었다.

이승현의	이승현/NNP+의/JKG
키와	키/NNG+와/JC
낮은	낮/VA+은/ETM
제자리	제자리/NNG
점프로는	점프/NNG+로/JKB+는/JX
국제무대에서	국제/NNG+무대/NNG+에서/JKB
파워포워드나	파워포워드/NNG+나/JC
센터를	센터/NNG+를/JKO
맡기가	맡/VV+기/ETN+가/JKS
애매해	애매/NNG+하/XSA+아/EC
스몰포워드로	스몰포워드/NNG+로/JKB
키워야	키우/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.235.4.1
하지만 이승현은 지난해부터 국내 프로농구와 국제 대회에서 자신보다 키가 큰 상대팀 센터들에게 밀리지 않는 모습을 보여주고 있다.

하지만	하지만/MAJ
이승현은	이승현/NNP+은/JX
지난해부터	지난해/NNG+부터/JX
국내	국내/NNG
프로농구와	프로/NNG+농구/NNG+와/JC
국제	국제/NNG
대회에서	대회/NNG+에서/JKB
자신보다	자신/NNG+보다/JKB
키가	키/NNG+가/JKS
큰	크/VA+ㄴ/ETM
상대팀	상대/NNG+팀/NNG
센터들에게	센터/NNG+들/XSN+에게/JKB
밀리지	밀리/VV+지/EC
않는	않/VX+는/ETM
모습을	모습/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.235.4.2
지난해 아시아남자선수권 8강전은 ‘거인’들의 높이에 대한 두려움에서 이승현을 벗어나게 한 경기였다.

지난해	지난해/NNG
아시아남자선수권	아시아/NNP+남자/NNG+선수/NNG+권/XSN
8강전은	8/SN+강전/NNB+은/JX
‘거인’들의	‘/SS+거인/NNG+’/SS+들/XSN+의/JKG
높이에	높이/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
두려움에서	두려움/NNG+에서/JKB
이승현을	이승현/NNP+을/JKO
벗어나게	벗어나/VV+게/EC
한	하/VX+ㄴ/ETM
경기였다.	경기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.235.4.3
이 경기에서 한국은 이란에 졌지만 이승현은 아시아 최고의 센터인 하메드 하다디(218cm)를 상대로 1쿼터에서 힘을 앞세워 판정승을 거뒀다.

이	이/MMD
경기에서	경기/NNG+에서/JKB
한국은	한국/NNP+은/JX
이란에	이란/NNP+에/JKB
졌지만	지/VV+었/EP+지만/EC
이승현은	이승현/NNP+은/JX
아시아	아시아/NNP
최고의	최고/NNG+의/JKG
센터인	센터/NNG+이/VCP+ㄴ/ETM
하메드	하메드/NNP
하다디(218cm)를	하다디/NNP+(/SS+218/SN+cm/SW+)/SS+를/JKO
상대로	상대/NNG+로/JKB
1쿼터에서	1/SN+쿼터/NNB+에서/JKB
힘을	힘/NNG+을/JKO
앞세워	앞세우/VV+어/EC
판정승을	판정승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.235.4.4
하다디는 이승현이 2쿼터 발목 부상으로 나가기 전까지 이승현의 힘에 밀려 리바운드를 제대로 잡아내지 못했다.

하다디는	하다디/NNP+는/JX
이승현이	이승현/NNP+이/JKS
2쿼터	2/SN+쿼터/NNB
발목	발목/NNG
부상으로	부상/NNG+으로/JKB
나가기	나가/VV+기/ETN
전까지	전/NNG+까지/JX
이승현의	이승현/NNP+의/JKG
힘에	힘/NNG+에/JKB
밀려	밀리/VV+어/EC
리바운드를	리바운드/NNG+를/JKO
제대로	제대로/MAG
잡아내지	잡아내/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.235.4.5
이승현은 하다디를 막으면서 얻은 노하우로 2015∼2016시즌 프로농구 챔피언결정전에서 KCC의 하승진(221cm)을 완벽하게 봉쇄했다.

이승현은	이승현/NNP+은/JX
하다디를	하다디/NNP+를/JKO
막으면서	막/VV+으면서/EC
얻은	얻/VV+은/ETM
노하우로	노하우/NNG+로/JKB
2015∼2016시즌	2015/SN+∼/SO+2016/SN+시즌/NNG
프로농구	프로/NNG+농구/NNG
챔피언결정전에서	챔피언/NNG+결정전/NNG+에서/JKB
KCC의	KCC/SL+의/JKG
하승진(221cm)을	하승진/NNP+(/SS+221/SN+cm/SW+)/SS+을/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
봉쇄했다.	봉쇄/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.235.5.1
이승현은 29일 국가대표팀 평가전에서 2m 이상의 장신 선수가 8명이나 포진한 튀니지를 상대로 양 팀 최다인 14개의 리바운드를 잡아냈다.

이승현은	이승현/NNP+은/JX
29일	29/SN+일/NNB
국가대표팀	국가/NNG+대표/NNG+팀/NNG
평가전에서	평가전/NNG+에서/JKB
