# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.75
metadata : {}


# id : NWRW1800000053.75.1.1
[2018 대입수시 필승전략]우송대, 모든 학과 문·이과 교차지원-면접 시행

[2018	[/SS+2018/SN
대입수시	대입/NNG+수시/NNG
필승전략]우송대,	필승/NNG+전략/NNG+]/SS+우송대/NNP+,/SP
모든	모든/MMN
학과	학과/NNG
문·이과	문·이과/NNG
교차지원-면접	교차/NNG+지원/NNG+-/SO+면접/NNG
시행	시행/NNG


# id : NWRW1800000053.75.2.1
우송대는 2018학년도 신입생 모집인원(2166명)의 86%인 1881명(정원 내 1724명, 정원 외 157명)을 수시전형에서 선발한다.

우송대는	우송대/NNP+는/JX
2018학년도	2018/SN+학년도/NNG
신입생	신입/NNG+생/XSN
모집인원(2166명)의	모집/NNG+인원/NNG+(/SS+2166/SN+명/NNB+)/SS+의/JKG
86%인	86/SN+%/SW+이/VCP+ㄴ/ETM
1881명(정원	1881/SN+명/NNB+(/SS+정원/NNG
내	내/NNB
1724명,	1724/SN+명/NNB+,/SP
정원	정원/NNG
외	외/NNB
157명)을	157/SN+명/NNB+)/SS+을/JKO
수시전형에서	수시/NNG+전형/NNG+에서/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.75.2.2
원서접수는 9월11∼15일.

원서접수는	원서/NNG+접수/NNG+는/JX
9월11∼15일.	9/SN+월/NNB+11/SN+∼/SO+15/SN+일/NNB+./SF


# id : NWRW1800000053.75.2.3
학생부교과전형은 10월 20, 21일 중 선택할 수 있으며 학생부종합전형 및 특기자 전형은 10월 23일∼11월 1일 실시한다.

학생부교과전형은	학생부/NNG+교과/NNG+전형/NNG+은/JX
10월	10/SN+월/NNB
20,	20/SN+,/SP
21일	21/SN+일/NNB
중	중/NNB
선택할	선택/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으며	있/VA+으며/EC
학생부종합전형	학생부/NNG+종합/NNG+전형/NNG
및	및/MAG
특기자	특기자/NNG
전형은	전형/NNG+은/JX
23일∼11월	23/SN+일/NNB+∼/SO+11/SN+월/NNB
1일	1/SN+일/NNB
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.75.3.1
학생부교과전형은 △일반전형(1400명) △독자적기준전형(50명) △지역인재전형(60명) 등의 정원 내 모집과 △농어촌학생전형(70명)의 정원 외 모집으로 선발한다.

학생부교과전형은	학생부/NNG+교과/NNG+전형/NNG+은/JX
△일반전형(1400명)	△/SW+일반/NNG+전형/NNG+(/SS+1400/SN+명/NNB+)/SS
△독자적기준전형(50명)	△/SW+독자/NNG+적/XSN+기준/NNG+전형/NNG+(/SS+50/SN+명/NNB+)/SS
△지역인재전형(60명)	△/SW+지역/NNG+인재/NNG+전형/NNG+(/SS+60/SN+명/NNB+)/SS
등의	등/NNB+의/JKG
정원	정원/NNG
내	내/NNB
모집과	모집/NNG+과/JC
△농어촌학생전형(70명)의	△/SW+농어촌/NNG+학생/NNG+전형/NNG+(/SS+70/SN+명/NNB+)/SS+의/JKG
외	외/NNB
모집으로	모집/NNG+으로/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.75.4.1
학생부종합전형은 △잠재능력우수자전형(119명) △고른기회전형(20명) 글로벌인재전형(5명)이며, 특기자전형은 △외국어우수자전형(70명) 등의 정원 내 모집과 △특성화고교졸업자전형(20명) △기초생활수급자 및 차상위계층전형(20명) △특수교육대상자전형(7명) △재외국민과 외국인전형(40명) 등의 정원 외 모집으로 선발한다.

학생부종합전형은	학생부/NNG+종합/NNG+전형/NNG+은/JX
△잠재능력우수자전형(119명)	△/SW+잠재/NNG+능력/NNG+우수자/NNG+전형/NNG+(/SS+119/SN+명/NNB+)/SS
△고른기회전형(20명)	△/SW+고르/VA+ㄴ/ETM+기회/NNG+전형/NNG+(/SS+20/SN+명/NNB+)/SS
글로벌인재전형(5명)이며,	글로벌/NNG+인재/NNG+전형/NNG+(/SS+5/SN+명/NNB+)/SS+이/VCP+며/EC+,/SP
특기자전형은	특기자/NNG+전형/NNG+은/JX
△외국어우수자전형(70명)	△/SW+외국어/NNG+우수자/NNG+전형/NNG+(/SS+70/SN+명/NNB+)/SS
등의	등/NNB+의/JKG
정원	정원/NNG
내	내/NNB
모집과	모집/NNG+과/JC
△특성화고교졸업자전형(20명)	△/SW+특성/NNG+화/XSN+고교/NNG+졸업자/NNG+전형/NNG+(/SS+20/SN+명/NNB+)/SS
△기초생활수급자	△/SW+기초/NNG+생활/NNG+수급자/NNG
및	및/MAG
차상위계층전형(20명)	차상위/NNG+계층/NNG+전형/NNG+(/SS+20/SN+명/NNB+)/SS
△특수교육대상자전형(7명)	△/SW+특수/NNG+교육/NNG+대상자/NNG+전형/NNG+(/SS+7/SN+명/NNB+)/SS
△재외국민과	△/SW+재외/NNG+국민/NNG+과/JC
외국인전형(40명)	외국인/NNG+전형/NNG+(/SS+40/SN+명/NNB+)/SS
외	외/NNB
모집으로	모집/NNG+으로/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.75.5.1
전 학과에서 문·이과 구분이 없이 교차지원이 가능하며, 모든 전형에서 면접고사를 시행한다.

전	전/MMN
학과에서	학과/NNG+에서/JKB
문·이과	문·이과/NNG
구분이	구분/NNG+이/JKS
없이	없이/MAG
교차지원이	교차/NNG+지원/NNG+이/JKS
가능하며,	가능/NNG+하/XSA+며/EC+,/SP
모든	모든/MMN
전형에서	전형/NNG+에서/JKB
면접고사를	면접/NNG+고사/NNG+를/JKO
시행한다.	시행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.75.5.2
학교생활기록부는 1학년(30%) 3과목, 2·3학년(70%) 4과목 등 7과목을 학기 구분 없이 가장 우수한 1개 학기 성적을 반영해 선발한다.

학교생활기록부는	학교생활/NNG+기록부/NNG+는/JX
1학년(30%)	1/SN+학년/NNG+(/SS+30/SN+%/SW+)/SS
3과목,	3/SN+과목/NNG+,/SP
2·3학년(70%)	2/SN+·/SP+3/SN+학년/NNG+(/SS+70/SN+%/SW+)/SS
4과목	4/SN+과목/NNG
등	등/NNB
