# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.330
metadata : {}


# id : NWRW1800000037.330.1.1
[北 3차 핵실험 후폭풍]새누리 중진들 “우리도 핵무장 필요”

[北	[/SS+北/SH
3차	3/SN+차/NNB
핵실험	핵/NNG+실험/NNG
후폭풍]새누리	후폭풍/NNG+]/SS+새누리/NNP
중진들	중진/NNG+들/XSN
“우리도	“/SS+우리/NP+도/JX
핵무장	핵무장/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000037.330.2.1
국회 외교통상통일위원회는 13일 북한의 3차 핵실험을 ‘심각한 도발행위’로 규정하고 ‘북한의 핵실험 규탄 결의안’을 만장일치로 채택했다.

국회	국회/NNG
외교통상통일위원회는	외교/NNG+통상/NNG+통일/NNG+위원회/NNG+는/JX
13일	13/SN+일/NNB
북한의	북한/NNP+의/JKG
3차	3/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
‘심각한	‘/SS+심각하/VA+ㄴ/ETM
도발행위’로	도발/NNG+행위/NNG+’/SS+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
‘북한의	‘/SS+북한/NNP+의/JKG
핵실험	핵/NNG+실험/NNG
규탄	규탄/NNG
결의안’을	결의안/NNG+’/SS+을/JKO
만장일치로	만장일치/NNG+로/JKB
채택했다.	채택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.330.2.2
전날 국방위에서 규탄 결의안을 통과시킨 데 이어 여야가 초당적으로 북핵 문제 대응에 나선 것이다.

전날	전날/NNG
국방위에서	국방위/NNG+에서/JKB
규탄	규탄/NNG
결의안을	결의안/NNG+을/JKO
통과시킨	통과/NNG+시키/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
여야가	여야/NNG+가/JKS
초당적으로	초당/NNG+적/XSN+으로/JKB
북핵	북핵/NNG
문제	문제/NNG
대응에	대응/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.330.2.3
이 규탄 결의안들은 국회 본회의에 상정돼 국회 차원의 결의안으로 채택하는 방안이 추진된다.

이	이/MMD
규탄	규탄/NNG
결의안들은	결의안/NNG+들/XSN+은/JX
국회	국회/NNG
본회의에	본회의/NNG+에/JKB
상정돼	상정/NNG+되/XSV+어/EC
차원의	차원/NNG+의/JKG
결의안으로	결의안/NNG+으로/JKB
채택하는	채택/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
추진된다.	추진/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.330.3.1
외통위는 이날 전체회의를 열어 새누리당이 발의한 ‘북한의 핵실험 규탄 및 핵폐기 촉구 결의안’과 민주통합당이 발의한 ‘북한의 핵실험 규탄 및 남북관계 개선 촉구 결의안’을 각각 상정한 뒤 여야 협의로 합의안을 만들어 통과시켰다.

외통위는	외통위/NNG+는/JX
이날	이날/NNG
전체회의를	전체/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
새누리당이	새누리당/NNP+이/JKS
발의한	발의/NNG+하/XSV+ㄴ/ETM
‘북한의	‘/SS+북한/NNP+의/JKG
핵실험	핵/NNG+실험/NNG
규탄	규탄/NNG
및	및/MAG
핵폐기	핵/NNG+폐기/NNG
촉구	촉구/NNG
결의안’과	결의안/NNG+’/SS+과/JC
민주통합당이	민주통합당/NNP+이/JKS
남북관계	남북/NNP+관계/NNG
개선	개선/NNG
결의안’을	결의안/NNG+’/SS+을/JKO
각각	각각/MAG
상정한	상정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
여야	여야/NNG
협의로	협의/NNG+로/JKB
합의안을	합의안/NNG+을/JKO
만들어	만들/VV+어/EC
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.330.4.1
결의안은 “국회는 북한의 핵실험을 용납할 수 없으며, 핵실험 강행을 대한민국 국민의 생명과 안전을 위협하는 심각한 도발행위로 규정하고 이로 인해 발생하는 문제에 대한 모든 책임은 북한에 있다”고 밝혔다.

결의안은	결의안/NNG+은/JX
“국회는	“/SS+국회/NNG+는/JX
북한의	북한/NNP+의/JKG
핵실험을	핵/NNG+실험/NNG+을/JKO
용납할	용납/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없으며,	없/VA+으며/EC+,/SP
핵실험	핵/NNG+실험/NNG
강행을	강행/NNG+을/JKO
대한민국	대한민국/NNP
국민의	국민/NNG+의/JKG
생명과	생명/NNG+과/JC
안전을	안전/NNG+을/JKO
위협하는	위협/NNG+하/XSV+는/ETM
심각한	심각하/VA+ㄴ/ETM
도발행위로	도발/NNG+행위/NNG+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
발생하는	발생/NNG+하/XSV+는/ETM
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모든	모든/MMN
책임은	책임/NNG+은/JX
북한에	북한/NNP+에/JKB
있다”고	있/VA+다/EF+”/SS+고/JKQ
