# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.205
metadata : {}


# id : NWRW1800000037.205.1.1
종합병원도 수술 정찰제… 환자부담 21% 줄어

종합병원도	종합/NNG+병원/NNG+도/JX
수술	수술/NNG
정찰제…	정찰/NNG+제/XSN+…/SE
환자부담	환자/NNG+부담/NNG
21%	21/SN+%/SW
줄어	줄/VV+어/EF


# id : NWRW1800000037.205.2.1
7개 질환 포괄수가제 7월부터 확대… 전국 어느 병원에서나 수술비 똑같아

7개	7/SN+개/NNB
질환	질환/NNG
포괄수가제	포괄/NNG+수가/NNG+제/XSN
7월부터	7/SN+월/NNB+부터/JX
확대…	확대/NNG+…/SE
전국	전국/NNG
어느	어느/MMD
병원에서나	병원/NNG+에서/JKB+나/JX
수술비	수술비/NNG
똑같아	똑같/VA+아/EF


# id : NWRW1800000037.205.3.1
7월부터 백내장 편도 맹장 항문 탈장 자궁 제왕절개 등 7가지 질병군의 입원 수술에 대해 종합병원과 대학병원에서도 ‘정찰제’가 시행된다.

7월부터	7/SN+월/NNB+부터/JX
백내장	백내장/NNG
편도	편도/NNG
맹장	맹장/NNG
항문	항문/NNG
탈장	탈장/NNG
자궁	자궁/NNG
제왕절개	제왕/NNG+절개/NNG
등	등/NNB
7가지	7/SN+가지/NNB
질병군의	질병군/NNG+의/JKG
입원	입원/NNG
수술에	수술/NNG+에/JKB
대해	대하/VV+아/EC
종합병원과	종합/NNG+병원/NNG+과/JC
대학병원에서도	대학/NNG+병원/NNG+에서/JKB+도/JX
‘정찰제’가	‘/SS+정찰/NNG+제/XSN+’/SS+가/JKS
시행된다.	시행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.205.3.2
보건복지부는 4일 제13차 건강보험정책심의위원회(건정심)를 열고 이 같은 내용이 포함된 ‘종합병원급 이상 포괄수가제 확대 시행’안을 심의 의결했다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
4일	4/SN+일/NNB
제13차	제/XPN+13/SN+차/NNB
건강보험정책심의위원회(건정심)를	건강/NNG+보험/NNG+정책/NNG+심의/NNG+위원회/NNG+(/SS+건정심/NNG+)/SS+를/JKO
열고	열/VV+고/EC
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
‘종합병원급	‘/SS+종합병원급/NNG
이상	이상/NNG
포괄수가제	포괄/NNG+수가/NNG+제/XSN
확대	확대/NNG
시행’안을	시행/NNG+’/SS+안/NNG+을/JKO
심의	심의/NNG
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.205.4.1
하지만 산부인과 의사들은 “의료기술의 질 차이를 고려하지 않은 획일적인 보상 방식”이라며 반발하고 있다.

하지만	하지만/MAJ
산부인과	산부인과/NNG
의사들은	의사/NNG+들/XSN+은/JX
“의료기술의	“/SS+의료/NNG+기술/NNG+의/JKG
질	질/NNG
차이를	차이/NNG+를/JKO
고려하지	고려/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
획일적인	획일적/NNG+이/VCP+ㄴ/ETM
보상	보상/NNG
방식”이라며	방식/NNG+”/SS+이/VCP+라며/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.205.4.2
대한산부인과학회는 다음 달 초부터 1주일간 전체 자궁 수술의 절반가량을 차지하는 복강경 수술을 거부하기로 했다.

대한산부인과학회는	대한산부인과학회/NNP+는/JX
다음	다음/NNG
달	달/NNG
초부터	초/NNB+부터/JX
1주일간	1/SN+주일/NNB+간/XSN
전체	전체/NNG
자궁	자궁/NNG
수술의	수술/NNG+의/JKG
절반가량을	절반/NNG+가량/XSN+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
복강경	복강경/NNG
수술을	수술/NNG+을/JKO
거부하기로	거부/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.205.4.3
이 제도의 궁금증을 문답으로 정리했다.

이	이/MMD
제도의	제도/NNG+의/JKG
궁금증을	궁금증/NNG+을/JKO
문답으로	문답/NNG+으로/JKB
정리했다.	정리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.205.5.1
Q. 포괄수가제가 무엇인가.

Q.	Q/SL+./SF
포괄수가제가	포괄/NNG+수가/NNG+제/XSN+가/JKS
무엇인가.	무엇/NP+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000037.205.6.1
A. 치료행위를 하나의 패키지로 묶어 미리 정해놓은 가격을 지불하는 방식이다.

A.	A/SL+./SF
치료행위를	치료/NNG+행위/NNG+를/JKO
하나의	하나/NR+의/JKG
패키지로	패키지/NNG+로/JKB
묶어	묶/VV+어/EC
미리	미리/MAG
정해놓은	정하/VV+아/EC+놓/VX+은/ETM
가격을	가격/NNG+을/JKO
지불하는	지불/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.205.6.2
진찰, 검사, 처치, 입원 등 각각의 진료 행위에 일일이 가격을 매긴 뒤 합산했던 ‘행위별수가제’와 반대된다.

진찰,	진찰/NNG+,/SP
검사,	검사/NNG+,/SP
처치,	처치/NNG+,/SP
입원	입원/NNG
등	등/NNB
각각의	각각/NNG+의/JKG
진료	진료/NNG
행위에	행위/NNG+에/JKB
일일이	일일이/MAG
가격을	가격/NNG+을/JKO
매긴	매기/VV+ㄴ/ETM
뒤	뒤/NNG
합산했던	합산/NNG+하/XSV+았/EP+던/ETM
‘행위별수가제’와	‘/SS+행위/NNG+별/XSN+수가/NNG+제/XSN+’/SS+와/JKB
