# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.401
metadata : {}


# id : NWRW1800000040.401.1.1
꼬일대로 꼬인 국정원 대치 정국 “박 대통령이 직접 나서야” 목소리

꼬일대로	꼬이/VV+ㄹ/ETM+대로/NNB
꼬인	꼬이/VV+ㄴ/ETM
국정원	국정원/NNG
대치	대치/NNG
정국	정국/NNG
“박	“/SS+박/NNP
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
나서야”	나서/VV+어야/EC+”/SS
목소리	목소리/NNG


# id : NWRW1800000040.401.2.1
새누리당, 국정조사 뭉개놓고

새누리당,	새누리당/NNP+,/SP
국정조사	국정/NNG+조사/NNG
뭉개놓고	뭉개/VV+어/EC+놓/VX+고/EC


# id : NWRW1800000040.401.3.1
국회 정상화만 압박, 출구 없애

국회	국회/NNG
정상화만	정상/NNG+화/XSN+만/JX
압박,	압박/NNG+,/SP
출구	출구/NNG
없애	없애/VV+어/EF


# id : NWRW1800000040.401.4.1
민주당은 갈수록 강경 분위기

민주당은	민주당/NNP+은/JX
갈수록	갈수록/MAG
강경	강경/NNG
분위기	분위기/NNG


# id : NWRW1800000040.401.5.1
“박, 양자·3자회동 받아들여야”

“박,	“/SS+박/NNP+,/SP
양자·3자회동	양자/NNG+·/SP+3/SN+자/NNB+회동/NNG
받아들여야”	받아들이/VV+어야/EC+”/SS


# id : NWRW1800000040.401.6.1
국가정보원 댓글 사건 국정조사가 19일 청문회를 끝으로 사실상 끝나지만, 국정원 대선개입의 진상 규명과 국정원 개혁을 둘러싼 여야의 대치 전선은 풀릴 기미조차 보이지 않고 있다.

국가정보원	국가/NNG+정보원/NNG
댓글	댓글/NNG
사건	사건/NNG
국정조사가	국정/NNG+조사/NNG+가/JKS
19일	19/SN+일/NNB
청문회를	청문회/NNG+를/JKO
끝으로	끝/NNG+으로/JKB
사실상	사실/NNG+상/XSN
끝나지만,	끝나/VV+지만/EC+,/SP
국정원	국정원/NNG
대선개입의	대선/NNG+개입/NNG+의/JKG
진상	진상/NNG
규명과	규명/NNG+과/JC
개혁을	개혁/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
여야의	여야/NNG+의/JKG
대치	대치/NNG
전선은	전선/NNG+은/JX
풀릴	풀리/VV+ㄹ/ETM
기미조차	기미/NNG+조차/JX
보이지	보이/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.401.6.2
특히 민주당은 박근혜 대통령의 사과 등 해법 제시가 없을 경우 원내외 투쟁을 무기한 계속한다는 방침이어서 다음달 정기국회 운영도 차질이 불가피할 것으로 보인다.

특히	특히/MAG
민주당은	민주당/NNP+은/JX
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
사과	사과/NNG
등	등/NNB
해법	해법/NNG
제시가	제시/NNG+가/JKS
없을	없/VA+을/ETM
경우	경우/NNG
원내외	원내외/NNG
투쟁을	투쟁/NNG+을/JKO
무기한	무/XPN+기한/NNG
계속한다는	계속/NNG+하/XSV+ㄴ다는/ETM
방침이어서	방침/NNG+이/VCP+어서/EC
다음달	다음/NNG+달/NNG
정기국회	정기/NNG+국회/NNG
운영도	운영/NNG+도/JX
차질이	차질/NNG+이/JKS
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.401.7.1
여야는 18일에도 ‘출구’ 없는 대치를 이어갔다.

여야는	여야/NNG+는/JX
18일에도	18/SN+일/NNB+에/JKB+도/JX
‘출구’	‘/SS+출구/NNG+’/SS
없는	없/VA+는/ETM
대치를	대치/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.401.7.2
윤상현 새누리당 원내수석부대표는 기자간담회를 열어 “국정조사를 하면서 새누리당은 최대한 양보하려고 노력해왔다.

윤상현	윤상현/NNP
새누리당	새누리당/NNP
원내수석부대표는	원내/NNG+수석/NNG+부대표/NNG+는/JX
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“국정조사를	“/SS+국정/NNG+조사/NNG+를/JKO
하면서	하/VV+면서/EC
새누리당은	새누리당/NNP+은/JX
최대한	최대한/MAG
양보하려고	양보/NNG+하/XSV+려고/EC
노력해왔다.	노력/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.401.7.3
이제 민주당이 제1야당으로서 결산국회에 조속히 참여할 때”라고 말했다.

이제	이제/MAG
민주당이	민주당/NNP+이/JKS
제1야당으로서	제/XPN+1/SN+야당/NNG+으로서/JKB
결산국회에	결산/NNG+국회/NNG+에/JKB
조속히	조속히/MAG
참여할	참여/NNG+하/XSV+ㄹ/ETM
때”라고	때/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.401.7.4
새누리당이 16일 단독으로 소집 요구서를 낸 ‘2012년 결산안 처리를 위한 8월 임시국회’에 민주당이 참여해 국회를 정상화해야 한다고 압박한 것이다.

새누리당이	새누리당/NNP+이/JKS
16일	16/SN+일/NNB
단독으로	단독/NNG+으로/JKB
소집	소집/NNG
요구서를	요구서/NNG+를/JKO
낸	내/VV+ㄴ/ETM
‘2012년	‘/SS+2012/SN+년/NNB
결산안	결산안/NNG
처리를	처리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
8월	8/SN+월/NNB
임시국회’에	임시/NNG+국회/NNG+’/SS+에/JKB
민주당이	민주당/NNP+이/JKS
참여해	참여/NNG+하/XSV+아/EC
국회를	국회/NNG+를/JKO
정상화해야	정상/NNG+화/XSN+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
압박한	압박/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.401.8.1
그러나 민주당은 갈수록 강경해지고 있다.

그러나	그러나/MAJ
민주당은	민주당/NNP+은/JX
갈수록	갈수록/MAG
강경해지고	강경/NNG+하/XSA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.401.8.2
김한길 민주당 대표는 ‘고 김대중 전 대통령 4주기 추모식에 부쳐’라는 글을 내어 “민주당은 민주주의 회복을 위해 당의 명운을 걸어야 한다.

김한길	김한길/NNP
민주당	민주당/NNP
대표는	대표/NNG+는/JX
‘고	‘/SS+고/MMA
김대중	김대중/NNP
전	전/MMD
대통령	대통령/NNG
4주기	4/SN+주기/NNB
추모식에	추모식/NNG+에/JKB
부쳐’라는	부치/VV+어/EF+’/SS+이/VCP+라는/ETM
글을	글/NNG+을/JKO
내어	내/VV+어/EC
“민주당은	“/SS+민주당/NNP+은/JX
민주주의	민주주의/NNG
회복을	회복/NNG+을/JKO
위해	위하/VV+아/EC
당의	당/NNG+의/JKG
명운을	명운/NNG+을/JKO
걸어야	걸/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.401.8.3
매일 밤 진실의 촛불을 밝히는 성숙한 국민들이 국정원을 개혁하고야 말 것이다.

매일	매일/MAG
밤	밤/NNG
진실의	진실/NNG+의/JKG
촛불을	촛불/NNG+을/JKO
밝히는	밝히/VV+는/ETM
성숙한	성숙/NNG+하/XSA+ㄴ/ETM
국민들이	국민/NNG+들/XSN+이/JKS
국정원을	국정원/NNG+을/JKO
개혁하고야	개혁/NNG+하/XSV+고/EC+야/JX
말	말/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.401.8.4
국민과 함께 반드시 민주주의 회복과 국정원 개혁을 이뤄내겠다”고 했다.

국민과	국민/NNG+과/JKB
함께	함께/MAG
반드시	반드시/MAG
민주주의	민주주의/NNG
회복과	회복/NNG+과/JC
국정원	국정원/NNG
개혁을	개혁/NNG+을/JKO
이뤄내겠다”고	이루/VV+어/EC+내/VX+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.401.8.5
노웅래 민주당 대표 비서실장은 “16일 1차 청문회에서 원세훈·김용판 두 증인이 검찰의 공소사실조차 부인하고, 새누리당이 이들을 감싸는 것을 보고 투쟁 강도를 높여가는 것 외에는 달리 방법이 없다고 판단했다”며 “천막투쟁도 중장기전에 대비하고 있다”고 말했다.

노웅래	노웅래/NNP
민주당	민주당/NNP
대표	대표/NNG
비서실장은	비서실장/NNG+은/JX
“16일	“/SS+16/SN+일/NNB
1차	1/SN+차/NNB
청문회에서	청문회/NNG+에서/JKB
원세훈·김용판	원세훈/NNP+·/SP+김용판/NNP
두	두/MMN
증인이	증인/NNG+이/JKS
검찰의	검찰/NNG+의/JKG
공소사실조차	공소/NNG+사실/NNG+조차/JX
부인하고,	부인/NNG+하/XSV+고/EC+,/SP
새누리당이	새누리당/NNP+이/JKS
이들을	이/NP+들/XSN+을/JKO
감싸는	감싸/VV+는/ETM
것을	것/NNB+을/JKO
보고	보/VV+고/EC
투쟁	투쟁/NNG
강도를	강도/NNG+를/JKO
높여가는	높이/VV+어/EC+가/VX+는/ETM
것	것/NNB
외에는	외/NNB+에/JKB+는/JX
달리	달리/MAG
방법이	방법/NNG+이/JKS
없다고	없/VA+다고/EC
판단했다”며	판단/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“천막투쟁도	“/SS+천막/NNG+투쟁/NNG+도/JX
중장기전에	중장기전/NNG+에/JKB
